study	sample_count	EUR	AFR	SAS	EAS	Admixed	perc
Alasoo_2018	84	84	0	0	0	0	0.018
BLUEPRINT	197	197	0	0	0	0	0.042
BrainSeq	479	232	226	1	0	20	0.102
CEDAR	322	322	0	0	0	0	0.069
Fairfax_2014	423	421	0	0	0	2	0.09
GENCORD	196	194	0	0	0	2	0.042
GEUVADIS	445	358	87	0	0	0	0.095
HipSci	263	261	0	1	0	1	0.056
Kasela_2017	295	295	0	0	0	0	0.063
Lepik_2017	381	381	0	0	0	0	0.081
Nedelec_2016	168	96	64	0	0	8	0.036
Quach_2016	200	100	100	0	0	0	0.043
ROSMAP	576	576	0	0	0	0	0.123
Schmiedel_2018	91	53	4	3	20	11	0.019
Schwartzentruber_2018	15	15	0	0	0	0	0.003
TwinsUK	433	432	0	0	0	1	0.092
van_de_Bunt_2015	117	117	0	0	0	0	0.025
